,0,1,2,3
250,Bostik,5438782,Bronze 1,TERRAN
251,GCCabane,904060,Bronze 1,RANDOM
252,lune,9896908,Bronze 1,TERRAN
253,Hlopushka,2387029,Bronze 1,TERRAN
254,MANDRIK,1411079,Bronze 1,TERRAN
255,Nikfen,10101045,Bronze 1,TERRAN
256,VoidRay,2488473,Bronze 1,TERRAN
257,Dante,9922190,Bronze 1,PROTOSS
258,Nosferatul,1388676,Bronze 1,TERRAN
259,RUFF,9424233,Bronze 1,TERRAN
260,Immortal,2530958,Bronze 1,PROTOSS
261,Swagetti,7624464,Bronze 1,TERRAN
262,Bazoozoo,9585532,Bronze 1,PROTOSS
263,Flapjack,10121030,Bronze 1,TERRAN
264,HNTI,4034347,Bronze 1,PROTOSS
265,Sheppard,5068436,Bronze 1,RANDOM
266,DARTVICTOR,10021471,Bronze 1,PROTOSS
267,wirus,1756160,Bronze 1,TERRAN
268,mark,9791556,Bronze 1,PROTOSS
269,Anbai,9586355,Bronze 1,PROTOSS
270,Саша,10119979,Bronze 1,TERRAN
271,LeeQuQu,9155862,Bronze 1,TERRAN
272,Quinsi,511913,Bronze 1,TERRAN
273,Rockstar,2004939,Bronze 1,TERRAN
274,НЕРВНЫЙ,1087917,Bronze 1,TERRAN
275,MrStelanser,10044126,Bronze 1,PROTOSS
276,artanis,10001640,Bronze 1,TERRAN
277,RUFF,9424233,Bronze 1,ZERG
278,Pepi,7387055,Bronze 1,TERRAN
279,Tudor,1469579,Bronze 1,TERRAN
280,asafhadar,785135,Bronze 1,PROTOSS
281,Zombie,2053948,Bronze 1,ZERG
282,ФОТОНЩИК,9557419,Bronze 1,PROTOSS
283,Maximos,5166831,Bronze 1,TERRAN
284,ejex,8949744,Bronze 1,PROTOSS
285,Asket,2110370,Bronze 1,RANDOM
286,MaEstro,9858746,Bronze 1,TERRAN
287,Lakluk,8654409,Bronze 1,ZERG
288,SkrrrMan,9208540,Bronze 1,PROTOSS
289,BERSERK,2221095,Bronze 1,PROTOSS
290,Lubel,9150585,Bronze 1,TERRAN
291,Jim,3308158,Bronze 1,TERRAN
292,xPoko,8602129,Bronze 1,TERRAN
293,Zeon,10043355,Bronze 1,PROTOSS
294,ProtosAdy,9159489,Bronze 1,PROTOSS
295,DeHansi,7802400,Bronze 1,RANDOM
296,artanis,10001640,Bronze 1,ZERG
297,Halion,9386524,Bronze 1,TERRAN
298,Кирей,9825263,Bronze 1,ZERG
299,Nosferatul,1388676,Bronze 1,RANDOM
300,MiesKE,8548940,Bronze 1,TERRAN
301,RAAM,9813603,Bronze 1,TERRAN
302,Arno,269008,Bronze 1,TERRAN
303,Remlif,6028354,Bronze 1,PROTOSS
304,Samihada,9498888,Bronze 1,TERRAN
305,Colin,1808803,Bronze 1,RANDOM
306,Morpheus,6938801,Bronze 1,TERRAN
307,Katari,10065201,Bronze 1,TERRAN
308,kazik,8365043,Bronze 1,ZERG
309,PLogroW,9411825,Bronze 1,TERRAN
310,Kenau,9816638,Bronze 1,TERRAN
311,drNoob,1906375,Bronze 1,ZERG
312,Hawkx,6325405,Bronze 1,PROTOSS
313,BadGamer,9934024,Bronze 1,TERRAN
314,sanio,10033133,Bronze 1,TERRAN
315,Kozun,4731714,Bronze 1,RANDOM
316,Graza,10091652,Bronze 1,TERRAN
317,Undertaker,5618273,Bronze 1,PROTOSS
318,Tommy,9705275,Bronze 1,PROTOSS
319,Burundin,9431580,Bronze 1,PROTOSS
320,Baqay,10044416,Bronze 1,ZERG
321,Cubayop,10154305,Bronze 1,TERRAN
322,papara,8731680,Bronze 1,PROTOSS
323,BLUESFENDER,10007531,Bronze 1,TERRAN
324,Olektietz,1337672,Bronze 1,TERRAN
325,ALi,525536,Bronze 1,ZERG
326,LuckyFortune,8979427,Bronze 1,TERRAN
327,voidwalkr,3140740,Bronze 1,PROTOSS
328,Worm,4526883,Bronze 1,ZERG
329,dolfik,7723398,Bronze 1,ZERG
330,NitramGA,9345725,Bronze 1,TERRAN
331,Maly,241516,Bronze 1,PROTOSS
332,UmadxxxorNAH,5190259,Bronze 1,TERRAN
333,Tartuuuga,9867378,Bronze 1,TERRAN
334,Tayz,4783658,Bronze 1,ZERG
335,Zail,10019251,Bronze 1,PROTOSS
336,Raiden,9523223,Bronze 1,ZERG
337,sirmoris,85295,Bronze 1,TERRAN
338,mercuriouss,936108,Bronze 1,RANDOM
339,Jeoz,1272665,Bronze 1,PROTOSS
340,SimpleGame,9771255,Bronze 1,PROTOSS
341,FelixS,1971780,Bronze 1,PROTOSS
342,Brett,8936628,Bronze 1,TERRAN
343,Jaegerkiller,385835,Bronze 1,RANDOM
344,Spanky,9367137,Bronze 1,TERRAN
345,Nazar,10105355,Bronze 1,ZERG
346,brandon,7459791,Bronze 1,TERRAN
347,Luty,10130041,Bronze 1,TERRAN
348,Nebrot,9325962,Bronze 1,TERRAN
349,KillerNL,8332468,Bronze 1,PROTOSS
350,Parrita,467107,Bronze 1,PROTOSS
351,FunkyMayhem,9199710,Bronze 1,ZERG
352,Nikolya,472268,Bronze 1,RANDOM
353,Aeriatal,874523,Bronze 1,TERRAN
354,Sophianae,9465442,Bronze 1,TERRAN
355,SrDeAlmas,10086837,Bronze 1,TERRAN
356,AIRTMUSIC,968745,Bronze 1,PROTOSS
357,FrozenHeart,3172728,Bronze 1,TERRAN
358,theTHEthe,1364678,Bronze 1,TERRAN
359,Sergey,7659190,Bronze 1,TERRAN
360,SilverDragon,5643026,Bronze 1,TERRAN
361,zerge,6050934,Bronze 1,ZERG
362,Rudzik,2230499,Bronze 1,ZERG
363,aldebarant,3575273,Bronze 1,TERRAN
364,ForStrings,4435585,Bronze 1,TERRAN
365,Vojta,9847208,Bronze 1,TERRAN
366,Rytase,5420794,Bronze 1,ZERG
367,Mada,9109738,Bronze 1,ZERG
368,FiveSD,928794,Bronze 1,TERRAN
369,Stewe,273039,Bronze 1,TERRAN
370,Regulus,10135309,Bronze 1,PROTOSS
371,Taromaru,5290602,Bronze 1,ZERG
372,zerge,6050934,Bronze 1,PROTOSS
373,RazeR,9987221,Bronze 1,PROTOSS
374,Planky,1240871,Bronze 1,TERRAN
375,PAMS,531431,Bronze 1,TERRAN
376,Kowalski,7224522,Bronze 1,TERRAN
377,Puck,9327805,Bronze 1,TERRAN
378,cyberBR,8566067,Bronze 1,TERRAN
379,Repin,261987,Bronze 1,ZERG
380,Gahina,1933171,Bronze 1,PROTOSS
381,SardiLorant,9347585,Bronze 1,PROTOSS
382,rtfm,78241,Bronze 1,PROTOSS
383,PewPew,8929317,Bronze 1,TERRAN
384,Halbert,8890785,Bronze 1,TERRAN
385,MoNsTeR,2616354,Bronze 1,ZERG
386,ToddN,9938011,Bronze 1,PROTOSS
387,ZeRo,2333744,Bronze 1,RANDOM
388,Poekels,5323458,Bronze 1,PROTOSS
389,tanjiro,9240360,Bronze 1,PROTOSS
390,KnightTime,1724243,Bronze 1,ZERG
391,CSquirrel,2026134,Bronze 1,TERRAN
392,StarLord,8519362,Bronze 1,ZERG
393,NigAnarchia,9737622,Bronze 1,TERRAN
394,hlualus,566845,Bronze 1,TERRAN
395,pløk,4464836,Bronze 1,PROTOSS
396,Draigathar,3021235,Bronze 1,TERRAN
397,Hiroshima,1626463,Bronze 1,TERRAN
398,Razor,9473844,Bronze 1,TERRAN
399,blackdragon,2439904,Bronze 1,PROTOSS
400,Spiffyleftee,9543681,Bronze 1,TERRAN
401,Woodcock,10082851,Bronze 1,ZERG
402,Cartman,10091894,Bronze 1,TERRAN
403,Burzumer,5234136,Bronze 1,TERRAN
404,Tirpitz,2268769,Bronze 1,ZERG
405,KILLER,10190799,Bronze 1,TERRAN
406,Javi,8565242,Bronze 1,TERRAN
407,Ingvar,9953597,Bronze 1,TERRAN
408,Artem,2376049,Bronze 1,PROTOSS
409,izobretatel,10116558,Bronze 1,PROTOSS
410,PikaPool,10044878,Bronze 1,PROTOSS
411,Lukas,9915085,Bronze 1,TERRAN
412,Slowsword,10029389,Bronze 1,TERRAN
413,BunDemAll,4908574,Bronze 1,ZERG
414,Filkus,7281731,Bronze 1,TERRAN
415,boss,9987662,Bronze 1,TERRAN
416,guigamerpt,8680566,Bronze 1,RANDOM
417,Alex,9133312,Bronze 1,TERRAN
418,Ageman,1949196,Bronze 1,ZERG
419,ali,8818433,Bronze 1,ZERG
420,EnTaro,2515692,Bronze 1,TERRAN
421,Mattis,10016427,Bronze 1,PROTOSS
422,Nicosaurus,7710599,Bronze 1,TERRAN
423,Slon,9796449,Bronze 1,TERRAN
424,Botarik,2295314,Bronze 1,PROTOSS
