,Name,playerid,league,FavoriteRace
395,Albatros,8708229,Bronze 1,ZERG
396,Iva,1659858,Bronze 1,PROTOSS
397,Elare,2188342,Bronze 1,PROTOSS
398,Ukropchik,2069463,Bronze 1,PROTOSS
399,Jolenemo,8781938,Bronze 1,PROTOSS
400,Gonewal,1347366,Bronze 1,PROTOSS
401,IIIIIIIIIIII,10055990,Bronze 1,ZERG
402,samarkk,9760420,Bronze 1,TERRAN
403,Bugman,8990879,Bronze 1,TERRAN
404,Descent,8616261,Bronze 1,PROTOSS
405,Luzilla,937105,Bronze 1,RANDOM
406,Naktul,5476476,Bronze 1,PROTOSS
407,MrDude,328290,Bronze 1,PROTOSS
408,magicProtoss,10145539,Bronze 1,TERRAN
409,Keiran,10096107,Bronze 1,TERRAN
410,PignonFr,8524140,Bronze 1,TERRAN
411,Tolo,9444467,Bronze 1,TERRAN
412,Spirit,10089211,Bronze 1,PROTOSS
413,Thruzt,4066797,Bronze 1,PROTOSS
414,Gåsapågen,5293807,Bronze 1,ZERG
415,Gåsapågen,5293807,Bronze 1,PROTOSS
416,Zboub,1363963,Bronze 1,TERRAN
417,Bubule,3218575,Bronze 1,ZERG
418,Rykket,6720276,Bronze 1,ZERG
419,PsychoDad,807099,Bronze 1,PROTOSS
420,NeoX,9209500,Bronze 1,PROTOSS
421,Boikot,9906398,Bronze 1,ZERG
422,BloXCoCo,2267344,Bronze 1,TERRAN
423,Eagle,4520638,Bronze 1,TERRAN
424,Marsik,295847,Bronze 1,PROTOSS
425,Flixy,2354392,Bronze 1,PROTOSS
426,uprzejmus,10200114,Bronze 1,TERRAN
427,nontrivial,8926534,Bronze 1,ZERG
428,LingBoy,9432530,Bronze 1,ZERG
429,knuttie,568925,Bronze 1,ZERG
430,ViviZzz,4694696,Bronze 1,PROTOSS
431,SneakyPigeon,7970637,Bronze 1,PROTOSS
432,zsee,5442714,Bronze 1,TERRAN
433,MacroHard,2418861,Bronze 1,PROTOSS
434,Меф,7076455,Bronze 1,TERRAN
435,RunningMan,3441049,Bronze 1,RANDOM
436,Hastla,9652714,Bronze 1,ZERG
437,Alastor,4458614,Bronze 1,PROTOSS
438,BattleMaster,10216197,Bronze 1,PROTOSS
439,ZtRyAlIe,8984438,Bronze 1,ZERG
440,Illumiknight,3957437,Bronze 1,ZERG
441,Yleesar,2926791,Bronze 1,TERRAN
442,Hotaheiti,2202427,Bronze 1,PROTOSS
443,Mike,6202536,Bronze 1,ZERG
444,DerKeks,6965328,Bronze 1,ZERG
445,SaltyPotato,9778856,Bronze 1,PROTOSS
446,Das,2263678,Bronze 1,TERRAN
447,mQp,506567,Bronze 1,ZERG
448,Cmoi,169690,Bronze 1,ZERG
449,SouLzZ,1039754,Bronze 1,TERRAN
450,llllllllllll,8828241,Bronze 1,TERRAN
451,SaS,3257917,Bronze 1,PROTOSS
452,ВОЖДЬ,2409217,Bronze 1,ZERG
453,KissKiss,10037864,Bronze 1,PROTOSS
454,SCrEaM,2008831,Bronze 1,ZERG
455,kekung,2470102,Bronze 1,TERRAN
456,Alien,6129056,Bronze 1,PROTOSS
457,Popeye,8643126,Bronze 1,TERRAN
458,Alien,6129056,Bronze 1,TERRAN
459,ElementXV,206207,Bronze 1,ZERG
460,Stafer,1583575,Bronze 1,ZERG
461,AnonimZero,8965148,Bronze 1,RANDOM
462,PsychoLisk,1565272,Bronze 1,ZERG
463,lllllIIIll,6881717,Bronze 1,ZERG
464,Nadgnity,1052753,Bronze 1,ZERG
465,juanmotife,5126204,Bronze 1,ZERG
466,MSTKommander,1822070,Bronze 1,PROTOSS
467,Chlenicks,806687,Bronze 1,PROTOSS
468,Vergil,2738372,Bronze 1,TERRAN
469,bansa,8468141,Bronze 1,ZERG
470,HentaiAddict,9287997,Bronze 1,TERRAN
471,зератул,2407027,Bronze 1,TERRAN
472,Zerwas,7038983,Bronze 1,PROTOSS
473,Broni,2193870,Bronze 1,TERRAN
474,IamJat,10208922,Bronze 1,TERRAN
475,holoweds,4797290,Bronze 1,PROTOSS
476,HarryB,4207162,Bronze 1,ZERG
477,BoXeR,2483415,Bronze 1,TERRAN
478,DildoGaggins,9224604,Bronze 1,TERRAN
479,ikler,1777871,Bronze 1,TERRAN
480,Magemanne,6108556,Bronze 1,TERRAN
481,mystik,1396196,Bronze 1,TERRAN
482,Capricorn,5460052,Bronze 1,PROTOSS
483,Kuriboh,2200183,Bronze 1,ZERG
484,Kirill,3512,Bronze 1,PROTOSS
485,jhfgutfufuy,9300310,Bronze 1,TERRAN
486,UpperNut,2026307,Bronze 1,TERRAN
487,LaViK,9493616,Bronze 1,TERRAN
488,WMS,10242508,Bronze 1,PROTOSS
489,Wupacow,1169310,Bronze 1,TERRAN
490,DAKINE,5589106,Bronze 1,RANDOM
491,Hokusai,6825029,Bronze 1,ZERG
492,Serhio,10194507,Bronze 1,TERRAN
493,Uvex,2333196,Bronze 1,PROTOSS
494,lllllllllll,10072035,Bronze 1,PROTOSS
495,Ryan,7044394,Bronze 1,TERRAN
496,Commander,3459061,Bronze 1,PROTOSS
497,Phyzzy,9816961,Bronze 1,PROTOSS
498,Tuja,8920122,Bronze 1,TERRAN
499,ENCEaEMIK,2492912,Bronze 1,RANDOM
500,Agnirabio,980915,Bronze 1,TERRAN
501,barauskas,7473729,Bronze 1,TERRAN
502,LikeABoss,9592076,Bronze 1,ZERG
503,Gold,3166348,Bronze 1,TERRAN
504,Satchel,7175062,Bronze 1,RANDOM
505,Tempest,8555586,Bronze 1,TERRAN
506,TIJ,4249852,Bronze 1,PROTOSS
507,Профхаос,9773,Bronze 1,TERRAN
508,Pawel,6790710,Bronze 1,ZERG
509,Alien,6129056,Bronze 1,ZERG
510,Maarten,3281406,Bronze 1,TERRAN
511,Aztecian,5375533,Bronze 1,ZERG
512,Mickaël,1011396,Bronze 1,RANDOM
513,SEAR,888562,Bronze 1,PROTOSS
514,KillerQueen,2272855,Bronze 1,PROTOSS
515,Dave,490644,Bronze 1,TERRAN
516,pedrito,8422542,Bronze 1,PROTOSS
517,Pandora,4432625,Bronze 1,RANDOM
518,Sugafor,8895797,Bronze 1,TERRAN
519,Psykotik,9452635,Bronze 1,ZERG
520,Metros,1415370,Bronze 1,PROTOSS
521,Bibi,1034602,Bronze 1,TERRAN
522,Jean,10300455,Bronze 1,TERRAN
523,ROBOT,8889122,Bronze 1,PROTOSS
524,gwefix,1652889,Bronze 1,TERRAN
525,Morton,2447057,Bronze 1,PROTOSS
526,AdgaMiS,1816051,Bronze 1,PROTOSS
527,Moooohu,10108105,Bronze 1,PROTOSS
528,MARVEL,210224,Bronze 1,PROTOSS
529,JoVANI,9529861,Bronze 1,PROTOSS
530,Metros,1415370,Bronze 1,TERRAN
531,PropZ,3347495,Bronze 1,ZERG
532,damage,1654374,Bronze 1,ZERG
533,blackpilled,9262005,Bronze 1,PROTOSS
534,Khanh,7890064,Bronze 1,TERRAN
535,Morserte,1490709,Bronze 1,PROTOSS
536,haha,9828501,Bronze 1,ZERG
537,REDDEVIL,2076383,Bronze 1,TERRAN
538,mesmes,9498260,Bronze 1,TERRAN
539,Conzy,8088374,Bronze 1,TERRAN
540,Meggggg,1331297,Bronze 1,PROTOSS
541,Structure,9518619,Bronze 1,PROTOSS
542,ElCoptain,10213032,Bronze 1,TERRAN
543,kazuma,2371587,Bronze 1,ZERG
544,ChiefRocka,2931009,Bronze 1,TERRAN
545,lizard,9901904,Bronze 1,RANDOM
546,Eli,5438710,Bronze 1,PROTOSS
547,Splirre,2187857,Bronze 1,ZERG
548,Zerwas,7038983,Bronze 1,TERRAN
549,birk,868260,Bronze 1,TERRAN
550,Shgotan,9958741,Bronze 1,TERRAN
551,BOBA,10032764,Bronze 1,ZERG
552,Brisket,9409683,Bronze 1,PROTOSS
553,Laust,6889869,Bronze 1,TERRAN
554,LeVraiFox,10215675,Bronze 1,PROTOSS
555,Verosa,9542970,Bronze 1,PROTOSS
556,ironwolf,5988608,Bronze 1,ZERG
557,llllllllllll,10026196,Bronze 1,PROTOSS
558,Damon,4659260,Bronze 1,ZERG
559,Dragon,1235527,Bronze 1,PROTOSS
560,Coffeehelps,10160310,Bronze 1,PROTOSS
561,JEKA,7334052,Bronze 1,TERRAN
562,Fermilis,462242,Bronze 1,ZERG
563,Тигрёнок,2297379,Bronze 1,TERRAN
564,Moveton,9492025,Bronze 1,TERRAN
565,AppleJuiceM,7038943,Bronze 1,TERRAN
