,0,1,2,3
476,247315,Silver,2,eu
477,248123,Silver,2,eu
478,247908,Silver,2,eu
479,248767,Silver,2,eu
480,247277,Silver,2,eu
481,246933,Silver,2,eu
482,247771,Silver,2,eu
483,247749,Silver,2,eu
484,248519,Silver,2,eu
485,248618,Silver,2,eu
486,248819,Silver,2,eu
487,247365,Silver,2,eu
488,247290,Silver,2,eu
489,247091,Silver,2,eu
490,247994,Silver,2,eu
491,247967,Silver,2,eu
492,247344,Silver,2,eu
493,247237,Silver,2,eu
494,247723,Silver,2,eu
495,247543,Silver,2,eu
496,248469,Silver,2,eu
497,248222,Silver,2,eu
498,247052,Silver,2,eu
499,247608,Silver,2,eu
500,248167,Silver,2,eu
501,247855,Silver,2,eu
502,248268,Silver,2,eu
503,248690,Silver,2,eu
504,247209,Silver,2,eu
505,247697,Silver,2,eu
506,247514,Silver,2,eu
507,247807,Silver,2,eu
508,247018,Silver,2,eu
509,247480,Silver,2,eu
510,248198,Silver,2,eu
511,248023,Silver,2,eu
512,248795,Silver,2,eu
513,248635,Silver,2,eu
514,248571,Silver,2,eu
515,247120,Silver,2,eu
516,248324,Silver,2,eu
517,248248,Silver,2,eu
518,247667,Silver,2,eu
519,247883,Silver,2,eu
520,248417,Silver,2,eu
521,248893,Silver,2,eu
522,248090,Silver,2,eu
523,248054,Silver,2,eu
524,248493,Silver,2,eu
525,248663,Silver,2,eu
526,248387,Silver,2,eu
527,247447,Silver,2,eu
528,247643,Silver,2,eu
529,248869,Silver,2,eu
530,247833,Silver,2,eu
531,248731,Silver,2,eu
532,248449,Silver,2,eu
533,248298,Silver,2,eu
534,248360,Silver,2,eu
535,248839,Silver,2,eu
536,247422,Silver,2,eu
537,248548,Silver,2,eu
538,248597,Silver,2,eu
539,247166,Silver,2,eu
540,247575,Silver,2,eu
541,248139,Silver,2,eu
542,247942,Silver,2,eu
543,248710,Silver,2,eu
544,248338,Silver,2,eu
545,246924,Silver,3,eu
546,247585,Silver,3,eu
547,247554,Silver,3,eu
548,248441,Silver,3,eu
549,248615,Silver,3,eu
550,248503,Silver,3,eu
551,248650,Silver,3,eu
552,247650,Silver,3,eu
553,247124,Silver,3,eu
554,247834,Silver,3,eu
555,248209,Silver,3,eu
556,248830,Silver,3,eu
557,247625,Silver,3,eu
558,248175,Silver,3,eu
559,247984,Silver,3,eu
560,248796,Silver,3,eu
561,247494,Silver,3,eu
562,247952,Silver,3,eu
563,248362,Silver,3,eu
564,247062,Silver,3,eu
565,247863,Silver,3,eu
566,247419,Silver,3,eu
567,247167,Silver,3,eu
568,248014,Silver,3,eu
569,247925,Silver,3,eu
570,247399,Silver,3,eu
571,247770,Silver,3,eu
572,248266,Silver,3,eu
573,248233,Silver,3,eu
574,248686,Silver,3,eu
575,248119,Silver,3,eu
576,247369,Silver,3,eu
577,247274,Silver,3,eu
578,247743,Silver,3,eu
579,248080,Silver,3,eu
580,248333,Silver,3,eu
581,247241,Silver,3,eu
582,247523,Silver,3,eu
583,248861,Silver,3,eu
584,247895,Silver,3,eu
585,248302,Silver,3,eu
586,247342,Silver,3,eu
587,247094,Silver,3,eu
588,248145,Silver,3,eu
589,248394,Silver,3,eu
590,248727,Silver,3,eu
591,247456,Silver,3,eu
592,247210,Silver,3,eu
593,247042,Silver,3,eu
594,248576,Silver,3,eu
595,248473,Silver,3,eu
596,247322,Silver,3,eu
597,247013,Silver,3,eu
598,247713,Silver,3,eu
599,248050,Silver,3,eu
600,247301,Silver,3,eu
601,247804,Silver,3,eu
602,247673,Silver,3,eu
603,248537,Silver,3,eu
604,248758,Silver,3,eu
605,247872,Gold,1,eu
606,248345,Gold,1,eu
607,248183,Gold,1,eu
608,246968,Gold,1,eu
609,247616,Gold,1,eu
610,247418,Gold,1,eu
611,248845,Gold,1,eu
612,248539,Gold,1,eu
613,247647,Gold,3,eu
614,248350,Platinum,1,eu
615,247955,Platinum,1,eu
616,247716,Platinum,1,eu
617,247397,Platinum,1,eu
618,248620,Platinum,1,eu
619,247876,Platinum,1,eu
620,247537,Platinum,1,eu
621,247174,Platinum,1,eu
622,248786,Platinum,1,eu
623,248329,Platinum,1,eu
624,248031,Platinum,1,eu
625,248842,Platinum,1,eu
626,248495,Platinum,1,eu
627,248207,Platinum,1,eu
628,247846,Platinum,1,eu
629,247442,Platinum,1,eu
630,247148,Platinum,1,eu
631,248665,Platinum,1,eu
632,248385,Platinum,1,eu
633,248005,Platinum,1,eu
634,247609,Platinum,1,eu
635,247308,Platinum,1,eu
636,247020,Platinum,1,eu
637,248553,Platinum,1,eu
638,248182,Platinum,1,eu
639,247206,Platinum,1,eu
640,248729,Platinum,1,eu
641,247912,Platinum,1,eu
642,247583,Platinum,1,eu
643,247351,Platinum,1,eu
644,246930,Platinum,1,eu
645,248895,Platinum,1,eu
646,248526,Platinum,1,eu
647,248062,Platinum,1,eu
648,247732,Platinum,1,eu
649,247493,Platinum,1,eu
650,248702,Platinum,1,eu
651,247635,Platinum,1,eu
652,247330,Platinum,1,eu
653,248865,Platinum,1,eu
654,247795,Platinum,1,eu
655,247469,Platinum,1,eu
656,247045,Platinum,1,eu
657,248590,Platinum,1,eu
658,248234,Platinum,1,eu
659,247232,Platinum,1,eu
660,248759,Platinum,1,eu
661,248403,Platinum,1,eu
662,248130,Platinum,1,eu
663,247763,Platinum,1,eu
664,247672,Platinum,1,eu
665,247375,Platinum,1,eu
666,247103,Platinum,1,eu
667,248307,Platinum,1,eu
668,247935,Platinum,1,eu
669,247823,Platinum,1,eu
670,247516,Platinum,1,eu
671,247287,Platinum,1,eu
672,248465,Platinum,1,eu
673,248100,Platinum,1,eu
674,247978,Platinum,1,eu
675,247660,Platinum,1,eu
676,247420,Platinum,1,eu
677,247080,Platinum,1,eu
678,248640,Platinum,1,eu
679,248270,Platinum,1,eu
680,248155,Platinum,1,eu
681,247557,Platinum,1,eu
682,247261,Platinum,1,eu
683,248806,Platinum,1,eu
684,248429,Platinum,1,eu
685,246925,Platinum,2,eu
686,248512,Platinum,2,eu
687,248140,Platinum,2,eu
688,248669,Platinum,2,eu
689,247691,Platinum,2,eu
690,247318,Platinum,2,eu
691,248821,Platinum,2,eu
692,247755,Platinum,2,eu
693,247439,Platinum,2,eu
694,248361,Platinum,2,eu
695,247184,Platinum,2,eu
696,247060,Platinum,2,eu
697,248261,Platinum,2,eu
698,247880,Platinum,2,eu
699,247247,Platinum,2,eu
